rater,dyad,trialNum,turnNum,repNum,refType,refExp
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,0,4,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,0,6,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,0,8,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,0,10,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,0,12,0,block,2
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,0,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,2,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,4,0,block,2
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,6,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,8,0,block,2
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1,10,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,2,2,0,block,2
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,2,4,0,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,3,0,1,block,4
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,3,2,1,block,4
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,4,0,1,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,4,2,1,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,5,0,1,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,5,2,1,block,4
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,5,4,1,block,1
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,6,0,2,block,4
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,6,2,2,block,0
Julia,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,7,0,2,block,4
