Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,quizAttempts,trialScore,cumulativeScore,cumulativeBonus,eventType,practice
0,5f6150d1aa4f2b137cbb8774,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213201265.0,undefined,vertical,horizontal,,0,practice,0,1,100,0,0.0,endTrial,True
1,5f615251aa4f2b137cbb87ec,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213585266.0,undefined,L,C,0.0,0,0,0,1,68,68,0.1,endTrial,False
2,5f61538baa4f2b137cbb889d,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213899497.0,undefined,L,Pi,1.0,0,0,0,1,37,105,0.1,endTrial,False
3,5f61545daa4f2b137cbb894d,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214109169.0,undefined,C,Pi,2.0,0,0,0,1,100,205,0.35,endTrial,False
4,5f61550caa4f2b137cbb89de,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214284491.0,undefined,C,L,3.0,0,1,0,1,100,305,0.6,endTrial,False
5,5f615627aa4f2b137cbb8ae9,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214567176.0,undefined,Pi,L,4.0,0,1,0,1,93,398,0.75,endTrial,False
6,5f6156acaa4f2b137cbb8b65,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214700273.0,undefined,Pi,C,5.0,0,1,0,1,68,466,0.85,endTrial,False
7,5f615735aa4f2b137cbb8c11,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214837554.0,undefined,L,Pi,6.0,0,2,0,1,100,566,1.1,endTrial,False
8,5f6157ceaa4f2b137cbb8cc6,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214990512.0,undefined,C,Pi,7.0,0,2,0,1,100,666,1.35,endTrial,False
9,5f61588faa4f2b137cbb8da0,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600215183777.0,undefined,L,C,8.0,0,2,0,1,100,766,1.6,endTrial,False
10,5f615918aa4f2b137cbb8e14,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600215320013.0,undefined,C,L,9.0,0,3,0,1,100,866,1.85,endTrial,False
11,5f615983aa4f2b137cbb8e69,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600215427797.0,undefined,Pi,L,10.0,0,3,0,1,75,941,1.95,endTrial,False
12,5f615a19aa4f2b137cbb8ed2,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600215577830.0,undefined,Pi,C,11.0,0,3,0,1,100,1041,2.2,endTrial,False
0,5f615179aa4f2b137cbb8795,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600213369087.0,undefined,vertical,horizontal,,0,practice,1,1,50,0,0.0,endTrial,True
1,5f6151fdaa4f2b137cbb87cc,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600213501572.0,undefined,vertical,horizontal,,0,practice,1,1,100,0,0.0,endTrial,True
2,5f615361aa4f2b137cbb8878,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600213857131.0,undefined,C,Pi,0.0,0,0,1,1,100,100,0.25,endTrial,False
3,5f615425aa4f2b137cbb8911,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600214053466.0,undefined,L,Pi,1.0,0,0,1,1,100,200,0.5,endTrial,False
4,5f6154c7aa4f2b137cbb89a0,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600214215082.0,undefined,L,C,2.0,0,0,1,1,100,300,0.75,endTrial,False
5,5f615545aa4f2b137cbb8a1d,pilot_class_test,4380-2c1daa33-6381-4e9d-93c3-e54857f5c025,1600214341986.0,undefined,C,L,3.0,0,1,1,1,100,400,1.0,endTrial,False
