refExp,repNum,rater,expType
1,0,Justin,block
2,0,Justin,block
4,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
4,0,Justin,block
1,0,Justin,block
4,1,Justin,block
4,1,Justin,block
0,1,Justin,block
1,1,Justin,block
0,1,Justin,block
4,1,Justin,block
1,1,Justin,block
4,2,Justin,block
0,2,Justin,block
4,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,3,Justin,block
0,3,Justin,block
0,3,Justin,block
0,3,Justin,block
0,3,Justin,block
0,3,Justin,block
3,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
2,0,Justin,block
2,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
1,1,Justin,block
4,1,Justin,block
1,1,Justin,block
2,1,Justin,block
0,1,Justin,block
0,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,3,Justin,block
0,3,Justin,block
0,3,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,1,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,2,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,3,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
0,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
0,0,Justin,block
0,0,Justin,block
1,0,Justin,block
0,1,Justin,block
0,1,Justin,block
1,1,Justin,block
0,1,Justin,block
0,1,Justin,block
0,1,Justin,block
0,1,Justin,block
0,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,2,Justin,block
0,3,Justin,block
1,3,Justin,block
0,3,Justin,block
0,3,Justin,block
1,0,Justin,block
2,0,Justin,block
0,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
1,0,Justin,block
2,0,Justin,block
0,0,Justin,block
0,0,Justin,block
1,0,Justin,block
2,0,Justin,block
1,0,Justin,block
0,0,Justin,block
2,0,Justin,block
1,1,Justin,block
1,1,Justin,block
2,1,Justin,block
0,1,Justin,block
