iterationName	gameid	time	leftTarget	rightTarget	trialNum	turnNum	repNum	block	blockNum	eventType
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723326296	L	C	0	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723327455	L	C	0	1	0	{"x":4,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	1	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723328586	L	C	0	1	0	{"x":2,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	2	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723329573	L	C	0	1	0	{"x":5,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	3	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723330719	L	C	0	1	0	{"x":1,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	4	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723332274	L	C	0	1	0	{"x":6,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	5	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723334564	L	C	0	1	0	{"x":0,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	6	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723337681	L	C	0	1	0	{"x":6,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	7	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723355175	L	C	0	1	0	{"x":7,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	8	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723357707	L	C	0	0	0	{"x":7,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	9	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723515346	L	Pi	1	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723516626	L	Pi	1	1	0	{"x":5,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	1	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723518511	L	Pi	1	1	0	{"x":5,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	2	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723520240	L	Pi	1	1	0	{"x":3,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	3	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723529255	L	Pi	1	3	0	{"x":2,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723532204	L	Pi	1	3	0	{"x":4,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	5	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723534578	L	Pi	1	3	0	{"x":6,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723536606	L	Pi	1	3	0	{"x":4,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	7	block
testing	5327-3b7bb2b3-5926-4e89-a556-48d3ebb50dc5	1588723592462	L	Pi	1	3	0	{"x":2,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	8	block
