iterationName	gameid	time	leftTarget	rightTarget	trialNum	turnNum	repNum	block	blockNum	eventType
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694563319	L	Pi	0	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694564480	L	Pi	0	1	0	{"x":3,"y":2,"width":1,"height":2,"color":[179,47,10,155]}	2	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694567717	L	Pi	0	1	0	{"x":7,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694569361	L	Pi	0	1	0	{"x":4,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694575330	L	Pi	0	1	0	{"x":3,"y":4,"width":2,"height":1,"color":[10,47,179,155]}	8	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694581784	L	C	1	0	0	{"x":5,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	10	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694596781	L	C	1	1	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694598280	L	C	1	1	0	{"x":3,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	2	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694600246	L	C	1	1	0	{"x":1,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694601713	L	C	1	1	0	{"x":1,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694603211	L	C	1	1	0	{"x":1,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	8	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694621842	C	Pi	2	3	0	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694622995	C	Pi	2	3	0	{"x":5,"y":0,"width":2,"height":1,"color":[10,47,179,155]}	2	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694624112	C	Pi	2	3	0	{"x":6,"y":1,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694625444	C	Pi	2	3	0	{"x":7,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694627259	C	Pi	2	3	0	{"x":5,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	8	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694628795	C	Pi	2	0	0	{"x":6,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	10	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694630470	C	Pi	1	0	1	{"x":8,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	12	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694699916	C	Pi	1	1	1	{"x":3,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	0	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694716950	C	Pi	1	1	1	{"x":3,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	2	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694718911	C	Pi	1	1	1	{"x":4,"y":3,"width":2,"height":1,"color":[10,47,179,155]}	4	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694720844	C	Pi	1	1	1	{"x":3,"y":4,"width":2,"height":1,"color":[10,47,179,155]}	6	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694722577	C	Pi	1	1	1	{"x":5,"y":0,"width":1,"height":2,"color":[179,47,10,155]}	8	block
testing	6855-be80f82c-eb97-43cf-ab8b-ef17814e4b4d	1588694724247	C	Pi	1	0	1	{"x":5,"y":2,"width":2,"height":1,"color":[10,47,179,155]}	10	block
