gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,message,timeElapsedInTurn,timeElapsedInTrial,eventType,practice,individualPracticeAttempts,turnStartTime,trialStartTime,word_count,char_count,flagged,block_justin,toer_justin,scene_justin,Flagged,phrases_justin,block_julia,tower_juli,scene_juli,phrases_julia,content
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,0,0,put a blue block three from the left.,28166,28166,chatMessage,FALSE,NA,NA,NA,9,40,FALSE,1,0,0,,a blue block,1,0,0,a blue block,a blue block a blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,2,0,place a red block on top of the left side of the blue block and then another red on top of that red,21993,57512,chatMessage,FALSE,NA,NA,NA,23,99,FALSE,2,0,0,,"a red block, another red",2,0,0,"a red block, another red","a red block, another red a red block, another red"
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2,0,0,Do the same L shape on the left side as last time with 2x blue and 2x red two spots from the left,36762,36762,chatMessage,FALSE,NA,NA,NA,23,97,FALSE,4,1,0,,"L shape, 2x blue, 2x red",4,1,0,"L shape, 2x blue, 2x red","L shape, 2x blue, 2x red L shape, 2x blue, 2x red"
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,4,0,Now place a blue block on top of that that lines up with the bottom blue block,24789,98193,chatMessage,FALSE,NA,NA,NA,17,78,FALSE,1,0,0,,a blue block,1,0,0,a blue block,a blue block a blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,6,0,"remove that last blue block, place it on top of the red blocks",29367,153402,chatMessage,FALSE,NA,NA,NA,13,62,FALSE,1,0,0,,that last blue block,1,0,0,last blue block,that last blue block last blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,8,0,place a red block on the second grid from the right of the screen,20695,194201,chatMessage,FALSE,NA,NA,NA,14,66,FALSE,1,0,0,,a red block,1,0,0,a red block,a red block a red block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,10,0,now place another red block three more space to the left of that one,18272,223861,chatMessage,FALSE,NA,NA,NA,14,68,FALSE,1,0,0,,another red block,1,0,0,another red block,another red block another red block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,12,0,"place two blue blocks next to each other connecting on top of the two red blocks
",20376,260321,chatMessage,FALSE,NA,NA,NA,16,81,FALSE,2,0,0,,two blue blocks,2,0,0,two blue blocks,two blue blocks two blue blocks
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,0,0,place a blue block starting in the second grid from the left,38147,38147,chatMessage,FALSE,NA,NA,NA,12,60,FALSE,1,0,0,,a blue block,1,0,0,a blue block,a blue block a blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,2,0,place another blue block directly to the right of it,15959,61969,chatMessage,FALSE,NA,NA,NA,10,53,FALSE,1,0,0,,another blue block,1,0,0,another blue block,another blue block another blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,4,0,stack two red blocks on top of eachother on the left side of the first blue block,16323,86975,chatMessage,FALSE,NA,NA,NA,17,81,FALSE,2,0,0,,two red blocks,2,0,0,two red blocks,two red blocks two red blocks
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,6,0,place a blue block starting in the 3rd grid from the right,18839,123971,chatMessage,FALSE,NA,NA,NA,12,58,FALSE,1,0,0,,a blue block,1,0,0,a blue block,a blue block a blue block
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,8,0,stack two red blocks on top of eachother on top of the left side of that blue block,16311,151473,chatMessage,FALSE,NA,NA,NA,18,83,FALSE,2,0,0,,two red blocks,2,0,0,two red blocks,two red blocks two red blocks
1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1.59328E+12,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,10,0,and place a blue block on top of those red blocks that is lined up with the bottom one,15289,180943,chatMessage,FALSE,NA,NA,NA,19,86,FALSE,1,0,0,,a blue block,1,0,0,a blue block,a blue block a blue block
