Unnamed: 0,_id,assignmentId,comments,confused,eventType,gameID,gameid,individualPracticeAttempts,isHuman,iterationName,leftTarget,nativeEnglish,pairedPracticeFails,repNum,rightTarget,role,score,strategy,time,totalLength,turnNum,flagged
0,5ef78980ce2f7f58fcd0a621,3QIYRE09Y7HFZO5N53UJJLRWGEHN1N,No,yes,exitSurvey,A2Y7RA3JIQXV6M,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,human,pilot0,Pi,yes,,3.0,L,listener,83,My strategy is to follow the architect's word~~~,1593280896816.0,1587778,0,False
1,5ef7899cce2f7f58fcd0a634,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,All was clear and worked as it should~~~ Thanks for the opportunity~~~,yes,exitSurvey,AH00EJ6PK1H3A,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,,human,pilot0,Pi,yes,,3.0,L,speaker,83,I tried to shorthand my instructions over time as me and the builder learned the standard shapes being asked of us~~~,1593280924026.0,1698709,0,False
0,5ef788b5ce2f7f58fcd0a58f,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,"It was a little laggy, but it worked out in the end~~~",yes,exitSurvey,A2GV9WSNSPX53,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,,human,pilot0,C,yes,,3.0,L,speaker,115,Try and get the 3 basic shapes down at the beginning and use that prior knowledge to make the instructions more simplistic in future trials~~~,1593280693761.0,1340685,0,False
1,5ef788c9ce2f7f58fcd0a59c,3KJYX6QCMDBZ2AU0XJMGX2HVWYJJV4,,yes,exitSurvey,A3TBR9GIXU42DM,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,,human,pilot0,C,yes,,3.0,L,listener,115,I tried my best to follow the Architect player's directions~~~ Once I took an extra turn for clarification~~~ We really hit the swing of things once A~~~ developed their own terms for the different tower shapes~~~,1593280713417.0,1321253,0,False
0,5ef78a90ce2f7f58fcd0a6e8,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,no,yes,exitSurvey,A2J18K5IUQ2K4G,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,,program,pilot0,Pi,yes,,3.0,L,speaker,15,"i tried my best to communicate the proper configuration, but it was very difficult and my partner was not very capable",1593281168204.0,1752698,0,False
1,5ef78ac9ce2f7f58fcd0a70e,3N4BPTXIOCSU0FBIAECN2VFPXGAUKP,It was almost impossible to get a bonus because I was unable to place the blocks correctly~~~ I feel that we should still receive a bonus for the time spent on this HIT~~~,yes,exitSurvey,A2QNVAMUHLUVMU,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,,human,pilot0,Pi,yes,,3.0,L,listener,15,I'm sure this was part of the research but it was frustrating because the architect would give me commands that I could not physically do~~~ I could only place 2 blocks at a time and they would want 3 or 5~~~ They would want the blocks up in the air but I could only place them on top of other blocks or at the bottom~~~ I tried to do what they said as best as I could~~~,1593281224998.0,1794699,0,False
0,5ef79081ce2f7f58fcd0a947,3EICBYG648W331O062RB7AT6BR3CJY,No,yes,exitSurvey,A3ERKH1ZX3VH0Z,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,,human,pilot0,C,yes,,3.0,L,speaker,107,team work and understanding strategy,1593282689641.0,2927264,0,False
1,5ef790a3ce2f7f58fcd0a955,3PJ71Z61R82UAM1T4TBE1KWCBP191B,No,yes,exitSurvey,A1CY7IOJ9YH136,3878-afb0aafe-768b-485b-9e69-251a58fcf3ff,,human,pilot0,C,yes,,3.0,L,listener,107,"Trying to coordinate with the architect, then simplifying as much as possible~~~",1593282723987.0,2917601,0,False
0,5ef78b0dce2f7f58fcd0a72b,3DY4FPOOA5OG0YDD5OVPZT3M6FDRV4,Interesting experiment,yes,exitSurvey,A1O8D22H0D03W1,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,,human,pilot0,Pi,yes,,3.0,C,listener,115,by seeing the architect's symbol response,1593281293908.0,1399902,0,False
1,5ef78de0ce2f7f58fcd0a802,3UXUOQ9OKIXMQRQ0LF6NYPY9KTIA7N,Extremely interesting experiment~~~,yes,exitSurvey,ACWVHNV57A8IJ,3300-92747c2e-ca2a-48cd-996a-54fde9f489be,,human,pilot0,Pi,yes,,3.0,C,speaker,115,By showing them the block using symbols from alphabet~~~,1593282016494.0,2125576,0,False
