Unnamed: 0,_id,score,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,eventType,trialScore,cumulativeScore,cumulativeBonus
0,5ef3a6159bd44a067577f505,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026069098.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,vertical,horizontal,practice,0,practice,endTrial,,,
1,5ef3a6c69bd44a067577f512,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026246902.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,Pi,0,0,0,endTrial,,,
2,5ef3a7349bd44a067577f51e,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026356676.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,C,1,0,0,endTrial,,,
3,5ef3a7739bd44a067577f529,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026419112.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,C,Pi,2,0,0,endTrial,,,
4,5ef3a7b69bd44a067577f533,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026486440.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,C,3,0,1,endTrial,,,
5,5ef3a7e09bd44a067577f53d,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026528840.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,C,Pi,4,0,1,endTrial,,,
6,5ef3a80b9bd44a067577f547,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026571610.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,Pi,5,0,1,endTrial,,,
7,5ef3a8339bd44a067577f551,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026611443.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,C,6,0,2,endTrial,,,
8,5ef3a8509bd44a067577f55b,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026640788.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,Pi,7,0,2,endTrial,,,
9,5ef3a86d9bd44a067577f565,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026669011.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,C,Pi,8,0,2,endTrial,,,
10,5ef3a8899bd44a067577f56f,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026697785.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,C,Pi,9,0,3,endTrial,,,
11,5ef3a8a49bd44a067577f579,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026724620.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,Pi,10,0,3,endTrial,,,
12,5ef3a8bf9bd44a067577f583,100.0,livetest0,1560-7c8a5938-8ca4-4d37-8a0d-a600a04650ce,1593026751837.0,33L7PJKHCKYV51US1KPA7UKWIPO8TH,L,C,11,0,3,endTrial,,,
0,5ef783a1ce2f7f58fcd0a354,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279393386.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,practice,0,practice,endTrial,25.0,0.0,0.0
1,5ef783c3ce2f7f58fcd0a35b,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279427406.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,vertical,horizontal,practice,0,practice,endTrial,100.0,0.0,0.0
2,5ef784d6ce2f7f58fcd0a3a0,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279702736.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,0,0,0,endTrial,87.0,87.0,0.06
3,5ef7859cce2f7f58fcd0a3d3,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593279900184.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,1,0,0,endTrial,100.0,187.0,0.16
4,5ef7863ece2f7f58fcd0a405,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280062979.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,2,0,0,endTrial,87.0,274.0,0.22
5,5ef786b6ce2f7f58fcd0a439,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280182554.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,3,0,1,endTrial,31.0,305.0,0.22
6,5ef78732ce2f7f58fcd0a477,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280306659.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,4,0,1,endTrial,68.0,373.0,0.24
7,5ef787b3ce2f7f58fcd0a4c2,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280435766.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,5,0,1,endTrial,31.0,404.0,0.24
8,5ef78819ce2f7f58fcd0a518,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280537877.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,C,6,0,2,endTrial,100.0,504.0,0.34
9,5ef78867ce2f7f58fcd0a556,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280615495.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,L,Pi,7,0,2,endTrial,100.0,604.0,0.43
10,5ef788b1ce2f7f58fcd0a58b,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280689573.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,Pi,8,0,2,endTrial,100.0,704.0,0.53
11,5ef788e9ce2f7f58fcd0a5b8,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280745959.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,C,L,9,0,3,endTrial,100.0,804.0,0.63
12,5ef78928ce2f7f58fcd0a5e6,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280808804.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,C,10,0,3,endTrial,100.0,904.0,0.73
13,5ef7895cce2f7f58fcd0a60c,,pilot0,1494-029e2297-bd3f-4cfe-be00-d06d36724e4e,1593280860813.0,3E47SOBEYUW78Q4UOK6BV9E6YCECIM,Pi,L,11,0,3,endTrial,100.0,1004.0,0.83
0,5ef783ecce2f7f58fcd0a363,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593279468265.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,vertical,horizontal,practice,0,practice,endTrial,100.0,0.0,0.0
1,5ef78546ce2f7f58fcd0a3c0,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593279814622.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,C,Pi,0,0,0,endTrial,93.0,93.0,0.06
2,5ef78607ce2f7f58fcd0a3f1,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280007856.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,L,Pi,1,0,0,endTrial,100.0,193.0,0.16
3,5ef7869bce2f7f58fcd0a42b,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280155026.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,L,C,2,0,0,endTrial,100.0,293.0,0.26
4,5ef786ebce2f7f58fcd0a456,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280235301.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,C,L,3,0,1,endTrial,100.0,393.0,0.36
5,5ef7873fce2f7f58fcd0a484,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280319186.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,Pi,L,4,0,1,endTrial,100.0,493.0,0.46
6,5ef7877cce2f7f58fcd0a4a2,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280380876.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,Pi,C,5,0,1,endTrial,100.0,593.0,0.55
7,5ef787b0ce2f7f58fcd0a4c0,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280432722.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,C,Pi,6,0,2,endTrial,100.0,693.0,0.65
8,5ef787e6ce2f7f58fcd0a4ef,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280486038.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,L,C,7,0,2,endTrial,100.0,793.0,0.75
9,5ef7880cce2f7f58fcd0a510,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280524601.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,L,Pi,8,0,2,endTrial,100.0,893.0,0.85
10,5ef78835ce2f7f58fcd0a52c,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280565100.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,Pi,C,9,0,3,endTrial,100.0,993.0,0.95
11,5ef7885cce2f7f58fcd0a54e,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280604867.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,Pi,L,10,0,3,endTrial,100.0,1093.0,1.05
12,5ef7888cce2f7f58fcd0a574,,pilot0,3224-ea79f879-98a3-43a8-8976-f941c8b8790d,1593280652652.0,3VHP9MDGRRKNYZ24NC0QSC1EIKMCFV,C,L,11,0,3,endTrial,100.0,1193.0,1.15
0,5ef78436ce2f7f58fcd0a374,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593279542898.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,horizontal,vertical,practice,0,practice,endTrial,25.0,0.0,0.0
1,5ef78468ce2f7f58fcd0a381,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593279592011.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,horizontal,vertical,practice,0,practice,endTrial,75.0,0.0,0.0
2,5ef7849cce2f7f58fcd0a38e,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593279644074.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,horizontal,vertical,practice,0,practice,endTrial,100.0,0.0,0.0
3,5ef7857cce2f7f58fcd0a3cb,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593279868166.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,L,C,0,0,0,endTrial,81.0,81.0,0.06
4,5ef7867dce2f7f58fcd0a41c,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280125007.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,C,Pi,1,0,0,endTrial,81.0,162.0,0.12
5,5ef78716ce2f7f58fcd0a46d,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280278995.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,L,Pi,2,0,0,endTrial,68.0,230.0,0.13
6,5ef787dece2f7f58fcd0a4e8,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280478331.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,Pi,L,3,0,1,endTrial,50.0,280.0,0.13
7,5ef788d7ce2f7f58fcd0a5ad,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280727622.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,Pi,C,4,0,1,endTrial,37.0,317.0,0.13
8,5ef789a3ce2f7f58fcd0a63b,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280931660.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,C,L,5,0,1,endTrial,62.0,379.0,0.15
9,5ef789e6ce2f7f58fcd0a663,,pilot0,2461-b9a83dc7-d6fc-4939-a889-9d4739a87dc6,1593280998250.0,338JKRMM2AZJJGWCYOSZP2N3YWEHAW,L,Pi,6,0,2,endTrial,43.0,422.0,0.15
